name	p_value
1Mb_16_120_16000000_50000000	1.0
1Mb_20_190_19000000_51000000	9.999000099990002e-05
1Mb_9_36_16000000_50000000	0.9997000299970003
1Mb_7_21_18000000_28000000	1.0
1Mb_10_45_19000000_51000000	0.22797720227977203
1Mb_10_45_37000000_46000000	9.999000099990002e-05
1Mb_2_1_16000000_17000000	1.0
1Mb_7_21_33000000_50000000	0.37736226377362264
500kb_6_15_18000000_23500000	1.0
500kb_8_28_25000000_28500000	1.0
1Mb_3_3_19000000_21000000	1.0
1Mb_7_21_24000000_51000000	9.999000099990002e-05
100kb_58_1649_37000000_42700000	9.999000099990002e-05
100kb_42_861_42800000_46900000	0.030096990300969902
500kb_2_1_17000000_17500000	1.0
500kb_8_28_47000000_50500000	0.9918008199180082
500kb_6_15_33000000_35500000	0.00029997000299970003
500kb_4_6_22000000_23500000	1.0
500kb_2_1_18000000_18500000	1.0
100kb_20_190_25000000_26900000	1.0
100kb_20_190_27000000_28900000	0.7198280171982802
500kb_3_3_19000000_20000000	0.9531046895310469
500kb_3_3_20500000_21500000	1.0
1Mb_5_10_24000000_32000000	0.11898810118988101
1Mb_2_1_36000000_51000000	9.999000099990002e-05
100kb_21_210_37000000_39000000	9.999000099990002e-05
100kb_37_666_39100000_42700000	0.0004999500049995
100kb_26_325_42800000_45300000	0.7479252074792521
100kb_16_120_45400000_46900000	0.0004999500049995
100kb_4_6_17000000_17300000	0.9968003199680032
100kb_6_15_17400000_17900000	0.9992000799920008
500kb_6_15_47000000_49500000	1.0
500kb_2_1_50000000_50500000	0.04279572042795721
100kb_19_171_33700000_35500000	1.0
100kb_11_55_33000000_35900000	9.999000099990002e-05
50kb_26_325_22700000_23950000	1.0
50kb_14_91_22000000_22650000	0.9715028497150285
100kb_13_78_25700000_26900000	0.9996000399960004
100kb_7_21_25000000_25600000	0.9986001399860014
50kb_25_300_27000000_28200000	0.24387561243875613
50kb_15_105_28250000_28950000	0.9785021497850215
500kb_1_0_20000000_20000000	1.0
500kb_2_1_19000000_19500000	0.1852814718528147
500kb_1_0_21500000_21500000	1.0
500kb_2_1_20500000_21000000	0.9945005499450055
100kb_40_779_29000000_32900000	0.009499050094990502
100kb_10_45_24000000_24900000	0.9617038296170383
100kb_10_45_37000000_37900000	0.48495150484951505
100kb_11_55_38000000_39000000	9.999000099990002e-05
100kb_22_231_39100000_41200000	0.004199580041995801
100kb_15_105_41300000_42700000	0.0344965503449655
50kb_17_136_42800000_43800000	0.011998800119988001
50kb_35_595_43600000_45350000	0.9996000399960004
50kb_20_190_45400000_46350000	0.0021997800219978004
50kb_12_66_46400000_46950000	0.035896410358964105
100kb_2_1_17200000_17300000	0.9992000799920008
100kb_2_1_17000000_17100000	0.8743125687431257
50kb_6_15_17650000_17900000	0.9938006199380062
50kb_6_15_17400000_17950000	0.9881011898810119
100kb_8_28_47000000_47700000	0.9235076492350764
100kb_22_231_47800000_49900000	1.0
100kb_6_15_50000000_50500000	0.704929507049295
100kb_4_6_50600000_50900000	0.006899310068993101
50kb_21_210_34550000_35550000	0.9998000199980002
50kb_17_136_33700000_34500000	1.0
50kb_8_28_35600000_35950000	0.0071992800719928
50kb_14_91_33000000_33650000	9.999000099990002e-05
50kb_13_78_23350000_23950000	0.9949005099490051
50kb_13_78_22700000_23300000	1.0
50kb_7_21_22350000_22650000	0.9981001899810019
50kb_7_21_22000000_22300000	0.685031496850315
50kb_16_120_25700000_26950000	0.9908009199080092
50kb_10_45_26200000_26650000	0.9991000899910009
50kb_8_28_25300000_25650000	0.671032896710329
50kb_6_15_25000000_25250000	1.0
50kb_15_105_27000000_27700000	0.8109189081091891
50kb_10_45_27750000_28200000	0.0197980201979802
50kb_11_55_28450000_28950000	0.9767023297670233
50kb_4_6_28250000_28400000	0.8712128787121288
50kb_7_21_19650000_19950000	0.033396660333966606
50kb_13_78_19000000_19600000	0.6983301669833016
100kb_25_300_29000000_31400000	0.0046995300469953
100kb_15_105_31500000_32900000	0.38046195380461956
50kb_6_15_24000000_24250000	0.7815218478152185
50kb_14_91_24300000_24950000	0.9532046795320468
50kb_11_55_37000000_37500000	0.9969003099690031
50kb_9_36_37550000_37950000	0.022097790220977902
50kb_8_28_38000000_38350000	9.999000099990002e-05
50kb_14_91_38400000_39050000	9.999000099990002e-05
50kb_28_378_39900000_41250000	0.21057894210578942
50kb_16_120_39100000_39850000	0.0027997200279972004
50kb_15_105_41300000_42000000	0.000999900009999
50kb_15_105_42050000_42750000	0.7032296770322968
50kb_12_66_43050000_43800000	0.5585441455854414
50kb_5_10_42800000_43000000	9.999000099990002e-05
50kb_21_210_44350000_45350000	0.9474052594740526
50kb_14_91_43600000_44300000	0.9993000699930007
50kb_9_36_45950000_46350000	0.19768023197680232
50kb_11_55_45400000_45900000	0.0031996800319968005
50kb_7_21_46400000_46700000	0.05699430056994301
50kb_5_10_46750000_46950000	0.20927907209279073
50kb_3_3_17200000_17300000	0.9966003399660034
50kb_2_1_17000000_17050000	0.48785121487851213
50kb_3_3_17800000_17900000	0.954904509549045
50kb_3_3_17650000_17750000	0.9826017398260174
50kb_3_3_17550000_17950000	0.8417158284171583
50kb_4_6_47000000_47150000	0.5791420857914209
50kb_12_66_47200000_47750000	0.9847015298470153
50kb_22_231_47800000_48850000	1.0
50kb_22_231_48900000_49950000	1.0
100kb_4_6_50200000_50500000	0.4320567943205679
100kb_2_1_50000000_50100000	0.9819018098190181
50kb_4_6_50800000_50950000	0.2933706629337066
50kb_4_6_50600000_50750000	0.0032996700329967
50kb_13_78_34950000_35550000	0.998000199980002
50kb_8_28_34550000_34900000	0.9853014698530147
50kb_10_45_34050000_34500000	0.9913008699130087
50kb_3_3_35600000_35700000	0.006899310068993101
50kb_5_10_35750000_35950000	0.16298370162983702
50kb_8_28_33000000_33350000	9.999000099990002e-05
50kb_7_21_23650000_23950000	0.9996000399960004
50kb_6_15_23350000_23600000	0.8224177582241776
50kb_8_28_22700000_23050000	1.0
50kb_3_3_22550000_22650000	0.9512048795120488
50kb_4_6_22350000_22500000	0.998000199980002
10kb_4_6_22310000_22340000	0.6857314268573143
10kb_31_465_22000000_22300000	0.6541345865413458
50kb_5_10_26750000_26950000	0.7383261673832616
50kb_11_55_25700000_26700000	0.9969003099690031
50kb_5_10_26200000_26400000	0.9752024797520248
50kb_5_10_26450000_26650000	0.9976002399760024
50kb_5_10_25450000_25650000	0.7481251874812519
50kb_3_3_25300000_25400000	0.49625037496250374
50kb_3_3_25000000_25100000	0.998000199980002
50kb_4_6_27000000_27150000	0.6454354564543545
50kb_11_55_27200000_27700000	0.8324167583241676
50kb_4_6_28050000_28200000	0.0168983101689831
50kb_6_15_27750000_28000000	0.3387661233876612
50kb_7_21_28650000_28950000	0.9285071492850715
50kb_4_6_28450000_28600000	0.9522047795220479
50kb_3_3_28250000_28350000	0.8082191780821918
50kb_5_10_19650000_19850000	0.5053494650534947
50kb_2_1_19900000_19950000	0.005699430056994301
50kb_7_21_19000000_19300000	0.9577042295770423
50kb_6_15_19350000_19600000	0.1434856514348565
50kb_30_435_30000000_31450000	0.0084991500849915
50kb_20_190_29000000_29950000	0.1628837116288371
50kb_13_78_32350000_32950000	0.49735026497350265
50kb_17_136_31500000_32300000	0.37276272372762725
50kb_4_6_24000000_24150000	0.8559144085591441
50kb_2_1_24200000_24250000	0.47875212478752127
50kb_7_21_24650000_24950000	0.9807019298070193
50kb_7_21_24300000_24600000	0.633036696330367
50kb_5_10_37000000_37200000	0.9959004099590041
50kb_6_15_37250000_37500000	0.938006199380062
50kb_6_15_37550000_37800000	0.4022597740225977
